Datetime,TAVG
12/4/2014,33
12/5/2014,39
12/6/2014,45
12/7/2014,37
12/8/2014,39
12/9/2014,41
12/10/2014,36
12/11/2014,33
12/12/2014,31
12/13/2014,39
12/14/2014,44
12/15/2014,44
12/16/2014,47
12/17/2014,33
12/18/2014,28
12/19/2014,28
12/20/2014,31
12/21/2014,32
12/22/2014,38
12/23/2014,51
12/24/2014,53
12/25/2014,39
12/26/2014,38
12/27/2014,45
12/28/2014,40
12/29/2014,33
12/30/2014,30
12/31/2014,22
1/1/2015,26
1/2/2015,34
1/3/2015,42
1/4/2015,51
1/5/2015,20
1/6/2015,22
1/7/2015,15
1/8/2015,5
1/9/2015,20
1/10/2015,11
1/11/2015,28
1/12/2015,35
1/13/2015,26
1/14/2015,23
1/15/2015,28
1/16/2015,31
1/17/2015,37
1/18/2015,44
1/19/2015,38
1/20/2015,42
1/21/2015,42
1/22/2015,35
1/23/2015,34
1/24/2015,33
1/25/2015,37
1/26/2015,28
1/27/2015,25
1/28/2015,23
1/29/2015,37
1/30/2015,31
1/31/2015,26
2/1/2015,38
2/2/2015,31
2/3/2015,25
2/4/2015,37
2/5/2015,23
2/6/2015,20
2/7/2015,39
2/8/2015,52
2/9/2015,39
2/10/2015,27
2/11/2015,30
2/12/2015,27
2/13/2015,21
2/14/2015,29
2/15/2015,12
2/16/2015,12
2/17/2015,9
2/18/2015,16
2/19/2015,2
2/20/2015,2
2/21/2015,26
2/22/2015,28
2/23/2015,18
2/24/2015,10
2/25/2015,27
2/26/2015,24
2/27/2015,15
2/28/2015,18
3/1/2015,29
3/2/2015,29
3/3/2015,33
3/4/2015,38
3/5/2015,22
3/6/2015,14
3/7/2015,30
3/8/2015,42
3/9/2015,44
3/10/2015,47
3/11/2015,50
3/12/2015,48
3/13/2015,50
3/14/2015,54
3/15/2015,49
3/16/2015,60
3/17/2015,58
3/18/2015,39
3/19/2015,45
3/20/2015,44
3/21/2015,51
3/22/2015,46
3/23/2015,40
3/24/2015,36
3/25/2015,55
3/26/2015,48
3/27/2015,35
3/28/2015,28
3/29/2015,35
3/30/2015,49
3/31/2015,55
4/1/2015,49
4/2/2015,57
4/3/2015,59
4/4/2015,44
4/5/2015,48
4/6/2015,56
4/7/2015,61
4/8/2015,61
4/9/2015,65
4/10/2015,62
4/11/2015,52
4/12/2015,56
4/13/2015,66
4/14/2015,62
4/15/2015,57
4/16/2015,62
4/17/2015,66
4/18/2015,66
4/19/2015,65
4/20/2015,60
4/21/2015,52
4/22/2015,51
4/23/2015,46
4/24/2015,48
4/25/2015,50
4/26/2015,49
4/27/2015,50
4/28/2015,52
4/29/2015,56
4/30/2015,55
5/1/2015,56
5/2/2015,61
5/3/2015,63
5/4/2015,68
5/5/2015,71
5/6/2015,72
5/7/2015,74
5/8/2015,74
5/9/2015,74
5/10/2015,76
5/11/2015,74
5/12/2015,64
5/13/2015,57
5/14/2015,59
5/15/2015,69
5/16/2015,70
5/17/2015,73
5/18/2015,72
5/19/2015,65
5/20/2015,54
5/21/2015,54
5/22/2015,57
5/23/2015,65
5/24/2015,71
5/25/2015,71
5/26/2015,72
5/27/2015,72
5/28/2015,70
5/29/2015,73
5/30/2015,75
5/31/2015,69
6/1/2015,56
6/2/2015,56
6/3/2015,62
6/4/2015,69
6/5/2015,71
6/6/2015,71
6/7/2015,73
6/8/2015,76
6/9/2015,70
6/10/2015,75
6/11/2015,79
6/12/2015,80
6/13/2015,78
6/14/2015,81
6/15/2015,81
6/16/2015,80
6/17/2015,76
6/18/2015,77
6/19/2015,71
6/20/2015,73
6/21/2015,77
6/22/2015,77
6/23/2015,81
6/24/2015,74
6/25/2015,72
6/26/2015,75
6/27/2015,67
6/28/2015,66
